2019-01-14 09:18:46.942 [main] INFO  com.temp.springcloud.SpringSecurityTx - Starting SpringSecurityTx on MS-20181009BXWL with PID 13480 (D:\component\component\springCloud\base_boot2\target\classes started by Administrator in D:\component\component\springCloud)
2019-01-14 09:18:47.001 [main] INFO  com.temp.springcloud.SpringSecurityTx - No active profile set, falling back to default profiles: default
2019-01-14 09:18:48.127 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-01-14 09:18:48.129 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-01-14 09:18:48.159 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 22ms. Found 0 repository interfaces.
2019-01-14 09:18:48.172 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-01-14 09:18:48.174 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-01-14 09:18:48.189 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8ms. Found 0 repository interfaces.
2019-01-14 09:18:48.592 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$aa1b2128] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-01-14 09:18:49.072 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8000 (http)
2019-01-14 09:18:49.086 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8000"]
2019-01-14 09:18:49.092 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-01-14 09:18:49.092 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/9.0.12
2019-01-14 09:18:49.102 [main] INFO  org.apache.catalina.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [D:\jdk_install\jdk1.8\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\app\Administrator\product\11.2.0\dbhome_1\bin;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;F:\soft\torsvn\bin;C:\Program Files\Git\cmd;C:\Users\Administrator\AppData\Local\Programs\Python\Python36;C:\Users\Administrator\AppData\Local\Programs\Python\Python36\Scripts;F:\soft\nodejs\;D:\jdk_install\jdk1.8\bin;D:\baidustorage\maven\apache-maven-3.5.3\bin;C:\Users\Administrator\AppData\Roaming\npm;.]
2019-01-14 09:18:49.245 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-01-14 09:18:49.245 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2159 ms
2019-01-14 09:18:49.283 [main] INFO  o.s.boot.web.servlet.ServletRegistrationBean - Servlet dispatcherServlet mapped to [/]
2019-01-14 09:18:49.285 [main] INFO  o.s.boot.web.servlet.ServletRegistrationBean - Servlet statViewServlet mapped to [/druid/*]
2019-01-14 09:18:49.290 [main] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
2019-01-14 09:18:49.290 [main] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'webStatFilter' to urls: [/*]
2019-01-14 09:18:49.332 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2019-01-14 09:18:49.459 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2019-01-14 09:18:49.611 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2019-01-14 09:18:49.677 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.7.Final}
2019-01-14 09:18:49.678 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2019-01-14 09:18:49.827 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2019-01-14 09:18:50.003 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2019-01-14 09:18:50.224 [main] INFO  o.hibernate.tool.schema.internal.SchemaCreatorImpl - HHH000476: Executing import script 'org.hibernate.tool.schema.internal.exec.ScriptSourceInputNonExistentImpl@28cd2c2'
2019-01-14 09:18:50.227 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2019-01-14 09:18:51.249 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8000"]
2019-01-14 09:18:51.258 [main] INFO  org.apache.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
2019-01-14 09:18:51.275 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8000 (http) with context path ''
2019-01-14 09:18:51.278 [main] INFO  com.temp.springcloud.SpringSecurityTx - Started SpringSecurityTx in 5.828 seconds (JVM running for 6.432)
2019-01-14 09:18:51.284 [main] INFO  c.t.s.s.controller.SqlFileExecutorControllerForJar - ===========执行脚本文件：001_hqbpmn_20181211_v2.3.2.0_mfl_init.sql =========== 
2019-01-14 09:18:51.295 [main] INFO  c.t.s.s.controller.SqlFileExecutorControllerForJar - ===========执行脚本文件：002_hqbpmn_20181211_v2.3.2.0_lw_init.sql =========== 
2019-01-14 09:29:03.213 [main] INFO  com.temp.springcloud.SpringSecurityTx - Starting SpringSecurityTx on MS-20181009BXWL with PID 177260 (D:\component\component\springCloud\base_boot2\target\classes started by Administrator in D:\component\component\springCloud)
2019-01-14 09:29:03.215 [main] INFO  com.temp.springcloud.SpringSecurityTx - No active profile set, falling back to default profiles: default
2019-01-14 09:29:04.053 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
